,duration,batch_size,hidden_size,num_layers,dropout,stride,snrValMetric,c50ValMetric,vadValMetric,ValidationMetric,name,only_vad
150,10,32,128,2,0.5,10,25.777299880981445,18.576061248779297,82.37244617136005,0.2376626135291875,dur_10_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
151,2,32,128,3,0.5,10,25.582273483276367,16.820255279541016,80.31082871455817,0.23548938776278816,dur_2_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
152,4,64,256,3,0.0,10,23.07670021057129,6.977916717529297,78.89788394402665,0.1845394396304512,dur_4_bs_64_lstm_hs_256_lstm_nl_3_dropout_0,False
153,2,128,128,3,0.0,10,25.34853744506836,19.496763229370117,79.70109271565906,0.24944699059416633,dur_2_bs_128_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
154,8,32,128,3,0.5,10,33.538238525390625,22.101543426513672,81.03382811387554,0.28614404775555985,dur_8_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
155,2,32,256,2,0.0,10,24.02412986755371,7.760692596435547,79.6848211249536,0.1889681344651991,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0,False
156,8,32,256,2,0.5,10,23.42652702331543,8.03045654296875,80.80205881074416,0.18443174698243733,dur_8_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5,False
157,6,128,128,3,0.0,10,23.877763748168945,8.154366493225098,81.9314303282874,0.18284050939333826,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0,False
158,8,64,256,3,0.3,10,24.13445472717285,21.631973266601562,82.47309048917222,0.24611472549871158,dur_8_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
159,4,128,128,2,0.0,10,23.30327796936035,6.8513946533203125,81.43977936914627,0.1762589785399713,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0,False
160,6,32,256,3,0.3,10,27.66489601135254,17.144634246826172,80.99946102319268,0.24204605594991735,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
161,6,64,128,2,0.3,10,31.9898738861084,16.726781845092773,81.06072273879778,0.2550274378537017,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
162,2,64,128,3,0.3,10,26.173213958740234,17.549297332763672,80.4088311546059,0.24070781714000364,dur_2_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
163,10,32,128,3,0.3,10,22.292102813720703,6.872148513793945,81.72153110935703,0.171870650977375,dur_10_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3,False
164,10,128,128,2,0.5,10,40.3554573059082,16.02903938293457,81.79014243390964,0.2786263799968605,dur_10_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
165,6,128,128,2,0.3,10,31.166898727416992,15.837985038757324,81.58649057765432,0.24615488051063275,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
166,6,128,256,3,0.3,10,23.88921546936035,7.28339958190918,81.5934923391885,0.17985968935240912,dur_6_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3,False
167,6,128,128,2,0.3,10,23.321880340576172,7.545185089111328,81.3778297534009,0.17983451271703,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3,False
168,10,32,256,2,0.0,10,23.154165267944336,6.944190979003906,81.8296235107658,0.17487818287195733,dur_10_bs_32_lstm_hs_256_lstm_nl_2_dropout_0,False
169,2,128,256,3,0.0,10,23.829809188842773,9.261070251464844,80.90743718690068,0.19135557614933632,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0,False
