,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name,only_vad
37,6,64,256,2,0.0,10,4.0758256912231445,4.505093097686768,0.39999982714653015,0.9809905290603638,0.04122667387127876,0.19496598839759827,0.07922925055027008,0.07669223845005035,0.03904440253973007,31.0,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0,False
38,6,64,256,3,0.0,10,27.772062301635742,27.21088981628418,0.4599996507167816,0.981792688369751,0.0168534517288208,0.08091739565134048,0.08091758191585541,1.2571748495101929,2.087406635284424,31.0,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
39,10,64,128,2,0.5,10,3.8891358375549316,4.595686912536621,0.3999999165534973,0.9835612177848816,0.039881814271211624,0.2200382649898529,0.07958138734102249,0.08773048222064972,0.05272643640637398,28.0,dur_10_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5,False
40,10,128,256,3,0.3,10,3.897986650466919,4.264603137969971,0.40000006556510925,0.9844359755516052,0.03849627822637558,0.17501932382583618,0.07307461649179459,0.07018057256937027,0.031764108687639236,28.0,dur_10_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3,False
41,4,64,256,2,0.3,10,4.8085150718688965,4.649205207824707,0.4199993312358856,0.9793577194213867,0.04547019302845001,0.2910946309566498,0.10561009496450424,0.09883077442646027,0.08665408194065094,23.0,dur_4_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3,False
42,6,32,256,2,0.5,10,26.76203727722168,16.03972053527832,0.400000661611557,0.9799527525901794,0.01775253750383854,0.09082581102848053,0.09082592278718948,1.1234608888626099,1.6299726963043213,11.0,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
43,6,32,256,2,0.3,10,4.049016952514648,4.626363754272461,0.360000342130661,0.9808842539787292,0.04124525561928749,0.23048143088817596,0.08299366384744644,0.09628789871931076,0.05120000243186951,30.0,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3,False
44,8,64,256,3,0.5,10,3.8209948539733887,4.3304948806762695,0.45999979972839355,0.9840177297592163,0.038404304534196854,0.20514442026615143,0.07728990167379379,0.08451198786497116,0.043342676013708115,27.0,dur_8_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5,False
45,4,128,128,2,0.3,10,4.915306091308594,4.797784805297852,0.3799998164176941,0.9796674847602844,0.04676803946495056,0.3007359504699707,0.10807408392429352,0.0977870374917984,0.09487470239400864,25.0,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3,False
46,6,128,128,2,0.0,10,4.156226634979248,4.5015153884887695,0.43999990820884705,0.9810567498207092,0.04168550297617912,0.24122542142868042,0.08491101861000061,0.09845240414142609,0.0578620620071888,32.0,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0,False
47,6,64,256,2,0.0,10,24.600088119506836,10.787898063659668,0.4200001657009125,0.981906533241272,0.01689980924129486,0.0776396319270134,0.07763967663049698,0.5791824460029602,1.9462599754333496,31.0,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
48,6,128,128,2,0.0,10,26.706701278686523,26.150609970092773,0.43999990820884705,0.98235023021698,0.01718652807176113,0.07704788446426392,0.07704784721136093,1.7123404741287231,2.490373134613037,28.0,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
49,10,32,256,2,0.0,10,19.929615020751953,34.04772186279297,0.3799998164176941,0.9846031665802002,0.01432288158684969,0.07660673558712006,0.07660672813653946,3.8440606594085693,1.0190446376800537,19.0,dur_10_bs_32_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
50,4,128,128,3,0.3,10,4.790721416473389,4.640998363494873,0.39999985694885254,0.9802447557449341,0.04535976052284241,0.2785433232784271,0.10444895178079605,0.09308097511529922,0.08101306855678558,32.0,dur_4_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3,False
51,8,128,128,2,0.3,10,4.021838188171387,4.632577419281006,0.3600001037120819,0.9828583598136902,0.0409117117524147,0.23428763449192047,0.08241605758666992,0.09242167323827744,0.059450019150972366,26.0,dur_8_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3,False
52,8,128,128,2,0.5,10,3.9883837699890137,4.493354320526123,0.46000009775161743,0.9833460450172424,0.040121495723724365,0.22412684559822083,0.08112668246030807,0.08569183200597763,0.05730827525258064,28.0,dur_8_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5,False
53,6,32,256,3,0.5,10,17.751312255859375,15.688874244689941,0.45999962091445923,0.9788455963134766,0.018701866269111633,0.09443454444408417,0.09443435072898865,1.1061478853225708,1.0500885248184204,6.0,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
54,8,32,256,3,0.5,10,4.025918960571289,4.675270080566406,0.5200004577636719,0.983232319355011,0.04067826271057129,0.2646869719028473,0.08373653888702393,0.11528757214546204,0.06566307693719864,9.0,dur_8_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5,False
55,8,128,128,3,0.0,10,22.468971252441406,37.799835205078125,0.4200000762939453,0.9845836758613586,0.014959463849663734,0.06804345548152924,0.06804350763559341,3.107835054397583,1.9839459657669067,34.0,dur_8_bs_128_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
56,6,64,128,2,0.3,10,4.092202663421631,4.563218593597412,0.4200001657009125,0.9816102981567383,0.04123913496732712,0.2330634891986847,0.08513050526380539,0.0902552455663681,0.057677868753671646,34.0,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3,False
57,6,32,128,3,0.0,10,4.025799751281738,4.51173210144043,0.439999520778656,0.9808803200721741,0.04066458344459534,0.22156228125095367,0.08333064615726471,0.08731836825609207,0.05091366171836853,23.0,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0,False
58,8,32,128,3,0.0,10,4.022643566131592,4.487290859222412,0.49999985098838806,0.9833366274833679,0.03999033942818642,0.2066890448331833,0.07834809273481369,0.08403374254703522,0.04430728778243065,22.0,dur_8_bs_32_lstm_hs_128_lstm_nl_3_dropout_0,False
59,6,64,256,3,0.3,10,3.988118886947632,4.373188495635986,0.47999969124794006,0.9815239906311035,0.0400778204202652,0.20749107003211975,0.08037686347961426,0.08285725116729736,0.04425685852766037,32.0,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3,False
60,8,32,256,2,0.3,10,24.71993637084961,35.035274505615234,0.4000002145767212,0.9821763634681702,0.016007084399461746,0.08735206723213196,0.08735199272632599,3.006497859954834,2.2981982231140137,12.0,dur_8_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
61,10,32,256,2,0.5,10,4.027841091156006,4.633906841278076,0.4400002360343933,0.9836008548736572,0.040533822029829025,0.23462066054344177,0.08209068328142166,0.09084022045135498,0.061689697206020355,11.0,dur_10_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5,False
