,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name
10,4,64,128,3,0.0,10,5.123627185821533,4.461030960083008,0.4799998104572296,0.9779412150382996,0.06831108033657074,0.45735591650009155,0.11295370012521744,0.24851274490356445,0.09588915854692459,6.0,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0
11,6,32,128,2,0.3,10,4.383871555328369,4.5430450439453125,0.45999962091445923,0.9802896976470947,0.06463845819234848,0.4033108949661255,0.09077057987451553,0.23936305940151215,0.07317699491977692,8.0,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.3
12,4,128,256,2,0.3,10,5.141951084136963,4.306633949279785,0.47999972105026245,0.9775597453117371,0.06741868704557419,0.46983906626701355,0.10981766879558563,0.2610419690608978,0.09897955507040024,8.0,dur_4_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3
13,6,128,128,3,0.3,10,4.188605785369873,4.385044574737549,0.43999990820884705,0.9811217784881592,0.06253885477781296,0.4029959440231323,0.08700177818536758,0.2539229094982147,0.06207127124071121,17.0,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3
14,2,32,256,3,0.3,10,6.584629535675049,4.744410037994385,0.44000178575515747,0.9694563746452332,0.07920560240745544,0.5247835516929626,0.17998917400836945,0.17056706547737122,0.1742287278175354,2.0,dur_2_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3
15,6,64,256,2,0.0,10,4.2235236167907715,4.350255966186523,0.3600001931190491,0.9811038970947266,0.06231280416250229,0.3978446424007416,0.08449213951826096,0.2584649622440338,0.0548875592648983,14.0,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0
16,2,128,128,2,0.0,10,6.243754863739014,4.5654497146606445,0.41999921202659607,0.9691687226295471,0.0773804634809494,0.5847392082214355,0.17108222842216492,0.22080545127391815,0.1928529292345047,5.0,dur_2_bs_128_lstm_hs_128_lstm_nl_2_dropout_0
17,4,64,256,2,0.3,10,5.090458869934082,4.366122245788574,0.4199993312358856,0.9784319996833801,0.06733068823814392,0.4587508738040924,0.11250647157430649,0.2473578304052353,0.09888599067926407,6.0,dur_4_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3
18,2,32,128,3,0.3,10,6.34055233001709,4.844633102416992,0.3999977707862854,0.9694288372993469,0.07873944193124771,0.5118216872215271,0.17398960888385773,0.16413836181163788,0.17369414865970612,4.0,dur_2_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3
19,6,32,256,2,0.3,10,4.273052215576172,4.435670852661133,0.439999520778656,0.9809451103210449,0.06299281865358353,0.3697889745235443,0.08715862780809402,0.22204849123954773,0.060581423342227936,13.0,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3
20,2,128,256,3,0.5,10,6.301692008972168,4.807255744934082,0.4000008702278137,0.969409167766571,0.07956047356128693,0.6108389496803284,0.17283378541469574,0.23128974437713623,0.2067151814699173,4.0,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5
21,4,128,128,2,0.3,10,5.00688362121582,4.488622665405273,0.39999985694885254,0.9782729744911194,0.0681808814406395,0.496432900428772,0.11566640436649323,0.2667692005634308,0.11399716138839722,7.0,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3
22,6,128,128,2,0.0,10,4.253694534301758,4.4637603759765625,0.3999998867511749,0.980092465877533,0.06383228302001953,0.4204227328300476,0.0902811661362648,0.2558112144470215,0.07433037459850311,10.0,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0
23,4,128,128,3,0.3,10,4.9558939933776855,4.495579719543457,0.39999985694885254,0.9781379699707031,0.06799344718456268,0.4814738929271698,0.11174668371677399,0.26010891795158386,0.10961806774139404,9.0,dur_4_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3
24,6,64,128,2,0.3,10,4.470247745513916,4.4739670753479,0.4200001657009125,0.9804714918136597,0.06476076692342758,0.4099765121936798,0.08958567678928375,0.2528988718986511,0.06749192625284195,12.0,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3
25,6,32,128,3,0.0,10,4.404117107391357,4.3792009353637695,0.3800002932548523,0.9803653955459595,0.06328995525836945,0.38624030351638794,0.08722016960382462,0.23703166842460632,0.061988260596990585,11.0,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0
26,2,64,256,2,0.3,10,6.371532440185547,4.776510238647461,0.40000101923942566,0.969220757484436,0.07932739704847336,0.536881685256958,0.17310687899589539,0.2070988118648529,0.1566758006811142,3.0,dur_2_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3
27,2,64,256,3,0.0,10,6.1494245529174805,4.638400554656982,0.4600003659725189,0.9705917835235596,0.07665502279996872,0.5316190719604492,0.16832469403743744,0.19998489320278168,0.16330976784229279,4.0,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0
28,6,64,256,3,0.3,10,4.215690612792969,4.45695686340332,0.4400002658367157,0.9805257320404053,0.06330835074186325,0.40094906091690063,0.08641740679740906,0.25480782985687256,0.0597238764166832,12.0,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3
29,4,64,128,2,0.0,10,5.037834644317627,4.451419830322266,0.4399995505809784,0.9778439998626709,0.06797566264867783,0.46497848629951477,0.11328592896461487,0.2452954798936844,0.10639676451683044,7.0,dur_4_bs_64_lstm_hs_128_lstm_nl_2_dropout_0
30,6,64,128,3,0.3,10,4.331294536590576,4.479100227355957,0.3799998164176941,0.981026828289032,0.06385480612516403,0.4127615988254547,0.0879732295870781,0.258949339389801,0.06583911180496216,12.0,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3
